TreeID,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantDate,year,DBH,Latitude,Longitude
65017,Ceanothus Sps :: California lilac,773 15th Ave,1,Sidewalk: Curb side : Cutout,4/28/89,1989,4,37.77361215,-122.4735481
65026,Lophostemon confertus :: Brisbane Box,271 Missouri St,1,Sidewalk: Curb side : Cutout,4/28/89,1989,13,37.7629699,-122.3964605
65046,Ficus nitida :: Laurel Fig,2498 Harrison St,1,Sidewalk: Curb side : Cutout,5/19/89,1989,18,37.75747206,-122.4124423
65039,Prunus cerasifera :: Cherry Plum,900 Green St,1,Sidewalk: Curb side : Cutout,5/19/89,1989,6,37.79894241,-122.4140673
63614,Metrosideros excelsa :: New Zealand Xmas Tree,2087 Golden Gate Ave,1,Sidewalk: Curb side : Cutout,5/31/89,1989,10,37.77785311,-122.4448098
65069,Platanus x hispanica :: Sycamore: London Plane,2221 Baker St,1,Sidewalk: Curb side : Cutout,6/5/89,1989,14,37.79162796,-122.4446307
65082,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1760 Pacific Ave,1,Sidewalk: Curb side : Cutout,6/14/89,1989,15,37.79475104,-122.4242232
65085,Metrosideros excelsa :: New Zealand Xmas Tree,1295 41st Ave,1,Sidewalk: Curb side : Cutout,6/14/89,1989,6,37.76280933,-122.5007976
65094,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',195 22nd Ave,1,Sidewalk: Curb side : Cutout,6/26/89,1989,9,37.78429296,-122.4818973
65092,Maytenus boaria :: Mayten,1927 Hayes St,1,Sidewalk: Curb side : Cutout,6/26/89,1989,10,37.77360119,-122.4482448
65146,Metrosideros excelsa :: New Zealand Xmas Tree,504 37th Ave,1,Sidewalk: Curb side : Cutout,6/26/89,1989,9,37.7792651,-122.4974956
65137,Prunus cerasifera :: Cherry Plum,1115 Balboa St,1,Sidewalk: Curb side : Cutout,6/26/89,1989,7,37.7768413,-122.4708504
61172,Callistemon viminalis :: Weeping Bottlebrush,346 21st Ave,1,Sidewalk: Curb side : Cutout,7/24/89,1989,11,37.78134815,-122.4804492
231047,Maytenus boaria :: Mayten,1006 Noe St,1,Sidewalk: Curb side : Cutout,7/24/89,1989,6,37.75283677,-122.4321092
65223,Maytenus boaria :: Mayten,463 Paris St,1,Sidewalk: Curb side : Cutout,7/24/89,1989,16,37.72138668,-122.4350777
65194,Melaleuca linariifolia :: Flaxleaf Paperbark,275 Lisbon St,1,Sidewalk: Curb side : Cutout,7/24/89,1989,19,37.72390459,-122.4320707
65204,Melaleuca styphelliodes :: Paperbark Tree,427 Naples St,1,Sidewalk: Curb side : Cutout,7/24/89,1989,18,37.72192415,-122.4303051
65105,Pittosporum undulatum :: Victorian Box,63 20th Ave,1,Sidewalk: Curb side : Cutout,7/24/89,1989,12,37.78642219,-122.479896
65101,Prunus cerasifera :: Cherry Plum,2 20th Ave,1,Sidewalk: Curb side : Cutout,7/24/89,1989,5,37.78670066,-122.4797654
65220,Prunus cerasifera :: Cherry Plum,438 Paris St,1,Sidewalk: Curb side : Cutout,7/24/89,1989,15,37.7218238,-122.434908
65203,Pyrus calleryana :: Ornamental Pear,319 Naples St,1,Sidewalk: Curb side : Cutout,7/24/89,1989,13,37.72357633,-122.4290549
65116,Pyrus kawakamii :: Evergreen Pear,130 21st Ave,1,Sidewalk: Curb side : Cutout,7/24/89,1989,3,37.7852899,-122.4807369
61640,Magnolia grandiflora :: Southern Magnolia,1201 29th Ave,1,Sidewalk: Curb side : Cutout,7/27/89,1989,4,37.76481192,-122.4880315
65270,Lophostemon confertus :: Brisbane Box,632 Commercial St,1,Sidewalk: Curb side : Cutout,8/14/89,1989,7,37.79416831,-122.4036588
65271,Lophostemon confertus :: Brisbane Box,642 Commercial St,1,Sidewalk: Curb side : Cutout,8/14/89,1989,10,37.79414883,-122.403775
65280,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,435 Tehama St,1,Sidewalk: Curb side : Cutout,8/14/89,1989,1,37.78037244,-122.4052311
20147,Ficus retusa nitida :: Banyan Fig,1025 Steiner St,1,Sidewalk: Curb side : Cutout,9/13/89,1989,12,37.77882774,-122.4335644
17716,Ligustrum lucidum :: Glossy Privet,1238 Pierce St,1,Sidewalk: Curb side : Cutout,9/13/89,1989,6,37.78157421,-122.4356517
21624,Magnolia grandiflora :: Southern Magnolia,1600X Octavia St,3,Sidewalk: Curb side : Cutout,9/13/89,1989,3,37.78750361,-122.4267012
21622,Magnolia grandiflora :: Southern Magnolia,1600X Octavia St,1,Sidewalk: Curb side : Cutout,9/13/89,1989,3,37.78750361,-122.4267012
12416,Maytenus boaria :: Mayten,1660 Laguna St,1,Sidewalk: Curb side : Cutout,9/13/89,1989,6,37.78643165,-122.4281952
12417,Prunus blireiana :: Flowering Plum,1691 Laguna St,1,Sidewalk: Curb side : Cutout,9/13/89,1989,6,37.78657602,-122.4283897
2467,Prunus cerasifera :: Cherry Plum,1848 Buchanan St,1,Sidewalk: Curb side : Cutout,9/13/89,1989,12,37.78716777,-122.4300336
12410,Prunus serrulata :: Ornamental Cherry,1610X Laguna St,1,Sidewalk: Curb side : Cutout,9/13/89,1989,7,37.78583137,-122.4283234
7323,Pyrus kawakamii :: Evergreen Pear,2019 Fillmore St,1,Sidewalk: Curb side : Cutout,9/15/89,1989,3,37.78823973,-122.4338077
65315,Prunus cerasifera :: Cherry Plum,543 Blanken Ave,1,Sidewalk: Curb side : Cutout,9/20/89,1989,18,37.71109034,-122.3966245
14046,Platanus x hispanica :: Sycamore: London Plane,1355 Market St,12,Sidewalk: Curb side : Cutout,9/25/89,1989,12,37.77728031,-122.4163653
14048,Platanus x hispanica :: Sycamore: London Plane,1355 Market St,4,Sidewalk: Curb side : Cutout,9/26/89,1989,8,37.77679592,-122.4169763
